"","Source","BGC","SS_NoSpace","Edatopic"
"1","BECv10","BAFAun","BAFAun/00","E7"
"2","BECv10","BAFAun","BAFAun/00","E6"
"3","BECv10","BAFAun","BAFAun/00","E5"
"4","BECv10","BAFAun","BAFAun/00","E4"
"5","BECv10","BAFAun","BAFAun/00","E3"
"6","BECv10","BAFAun","BAFAun/00","E2"
"7","BECv10","BAFAun","BAFAun/00","E1"
"8","BECv10","BAFAun","BAFAun/00","E0"
"9","BECv10","BAFAun","BAFAun/00","D7"
"10","BECv10","BAFAun","BAFAun/00","D6"
"11","BECv10","BAFAun","BAFAun/00","D5"
"12","BECv10","BAFAun","BAFAun/00","D4"
"13","BECv10","BAFAun","BAFAun/00","D3"
"14","BECv10","BAFAun","BAFAun/00","D2"
"15","BECv10","BAFAun","BAFAun/00","D1"
"16","BECv10","BAFAun","BAFAun/00","D0"
"17","BECv10","BAFAun","BAFAun/00","C7"
"18","BECv10","BAFAun","BAFAun/00","C6"
"19","BECv10","BAFAun","BAFAun/00","C5"
"20","BECv10","BAFAun","BAFAun/00","C4"
"21","BECv10","BAFAun","BAFAun/00","C3"
"22","BECv10","BAFAun","BAFAun/00","C2"
"23","BECv10","BAFAun","BAFAun/00","C1"
"24","BECv10","BAFAun","BAFAun/00","C0"
"25","BECv10","BAFAun","BAFAun/00","B7"
"26","BECv10","BAFAun","BAFAun/00","B6"
"27","BECv10","BAFAun","BAFAun/00","B5"
"28","BECv10","BAFAun","BAFAun/00","B4"
"29","BECv10","BAFAun","BAFAun/00","B3"
"30","BECv10","BAFAun","BAFAun/00","B2"
"31","BECv10","BAFAun","BAFAun/00","B1"
"32","BECv10","BAFAun","BAFAun/00","B0"
"33","BECv10","BAFAun","BAFAun/00","A7"
"34","BECv10","BAFAun","BAFAun/00","A6"
"35","BECv10","BAFAun","BAFAun/00","A5"
"36","BECv10","BAFAun","BAFAun/00","A4"
"37","BECv10","BAFAun","BAFAun/00","A3"
"38","BECv10","BAFAun","BAFAun/00","A2"
"39","BECv10","BAFAun","BAFAun/00","A1"
"40","BECv10","BAFAun","BAFAun/00","A0"
"41","BECv10","BAFAunp","BAFAunp/00","E7"
"42","BECv10","BAFAunp","BAFAunp/00","E6"
"43","BECv10","BAFAunp","BAFAunp/00","E5"
"44","BECv10","BAFAunp","BAFAunp/00","E4"
"45","BECv10","BAFAunp","BAFAunp/00","E3"
"46","BECv10","BAFAunp","BAFAunp/00","E2"
"47","BECv10","BAFAunp","BAFAunp/00","E1"
"48","BECv10","BAFAunp","BAFAunp/00","E0"
"49","BECv10","BAFAunp","BAFAunp/00","D7"
"50","BECv10","BAFAunp","BAFAunp/00","D6"
