"","grp","chng_type","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange"
"1",1,"-","BAFAun","BAFAun/00","X",NA,"X",NA,NA,FALSE
"2",5,"-","BAFAunp","BAFAunp/00","X",NA,"X",NA,NA,FALSE
"3",94,"-","BGxh1","BGxh1/Gg","X",NA,"X",NA,NA,FALSE
"4",114,"-","BGxh2","BGxh2/Gg","X",NA,"X",NA,NA,FALSE
"5",115,"-","BGxh2","BGxh2/Gs","X",NA,"X",NA,NA,FALSE
"6",123,"-","BGxh3","BGxh3/Gg","X",NA,"X",NA,NA,FALSE
"7",124,"-","BGxh3","BGxh3/Ro","X",NA,"X",NA,NA,FALSE
"8",149,"-","BGxw1","BGxw1/Gg","X",NA,"X",NA,NA,FALSE
"9",150,"-","BGxw1","BGxw1/Ro","X",NA,"X",NA,NA,FALSE
"10",151,"-","BGxw2","BGxw2/101","X",NA,"X",NA,NA,FALSE
"11",160,"-","BGxw2","BGxw2/Gg","X",NA,"X",NA,NA,FALSE
"12",161,"-","BGxw2","BGxw2/Ro","X",NA,"X",NA,NA,FALSE
"13",489,"-","BWBSdk","BWBSdk/Gb","X",NA,"X",NA,NA,FALSE
"14",490,"-","BWBSdk","BWBSdk/Gg","X",NA,"X",NA,NA,FALSE
"15",491,"-","BWBSdk","BWBSdk/Ro","X",NA,"X",NA,NA,FALSE
"16",777,"-","BWBSmk","BWBSmk/Gg","X",NA,"X",NA,NA,FALSE
"17",778,"-","BWBSmk","BWBSmk/Ro","X",NA,"X",NA,NA,FALSE
"18",813,"-","BWBSmw","BWBSmw/Gg","X",NA,"X",NA,NA,FALSE
"19",814,"-","BWBSmw","BWBSmw/Ro","X",NA,"X",NA,NA,FALSE
"20",1002,"-","BWBSwk1","BWBSwk1/Ro","X",NA,"X",NA,NA,FALSE
"21",1033,"-","BWBSwk2","BWBSwk2/Gg","X",NA,"X",NA,NA,FALSE
"22",1034,"-","BWBSwk2","BWBSwk2/Ro","X",NA,"X",NA,NA,FALSE
"23",1065,"-","BWBSwk3","BWBSwk3/Ro","X",NA,"X",NA,NA,FALSE
"24",1117,"-","CDFmm","CDFmm/105","Hw",NA,"Hw",2,"inputed",NA
"25",1121,"-","CDFmm","CDFmm/105","Tw",NA,"Tw",3,"inputed",NA
"26",1140,"-","CDFmm","CDFmm/111","Bg",NA,"Bg",3,"inputed",NA
"27",1163,"-","CDFmm","CDFmm/112","Ss",NA,"Ss",3,"inputed",NA
"28",1222,"+","CDFmm","CDFmm/Ws53","Fdc",3,"Fd",4,"HAK/SCS",FALSE
"29",1222,"-","CDFmm","CDFmm/Ws53","Fdi",NA,"Fd",3,"inputed",NA
"30",1376,"-","CMAun","CMAun/00","X",NA,"X",NA,NA,FALSE
"31",1380,"+","CMAunp","CMAunp/00","Hm",2,"Hm",5,"HAK/SCS",FALSE
