BGC,SiteSeries,1,2,3,4,5
BGxh1,102,,,Py ,,Fd
BGxh1,103,,Py,Fd,,
BGxh1,110,,Py,Fd,,
BGxh2,102,,Py,Fd,,
BGxh2,110,,Fd,Py ,,
BGxw1,102,,,Py,Fd,
BGxw1,110,,PyFd,,,
BGxw1,111,,Fd,Py,,
ESSFdc2,101,Se Bl,Pl,,,
ESSFdc2,102,,,Pl Pa Bl Se Fd 14 32,,
ESSFdc2,103,Pl,Fd 14 32 Bl Se,,,
ESSFdc2,104,Pl,Bl Se,,,
ESSFdc2,110,Bl Se,Pl,,,
ESSFdc2,111,Bl Se,Pl,,,
ESSFdc2,112,,Se 1,Bl 1,,
ESSFdh1,101,Bl Sx,Pl34 Ba,Pw31 Cw32 Hw Fd32 34 Lw32 203,,
ESSFdh1,102,,Fd 9 14,Pw31 34 Pl34 Sx13 Bl Pw31 34,,
ESSFdh1,103,,Pl34,Fd9 32 34 Bl 28 Pw 31 Sx28  Lw 9 32 203,,
ESSFdh1,104,Fd14 32 Pw31Bl Pl 34,Sx ,Ba10 28 Cw10 28 Hw10 28 Lw 14 32 203,At,
ESSFdh1,110,Sx Bl,Ba Cw32 Hw32,Fd32 Pl34 Lw 32 203 At, Act,
ESSFdh1,111,,Sx1 Bl1Pl1 34,Hw1 32 Cw1 32 Ba1 32,,
ESSFmw1,101,Se Bl Ba,Pl34 200 Pw14 31,"Hm10 13 28  Hw10 14  Cw14 32 Fd9 14,32",,
ESSFmw1,102,,Pl ,Pa 13 31 Bl13 Se13 Fd 14,,
ESSFmw1,103,Pl 34 Se Bl,,Ba32 Hw 28 Pa 13 31 Lw 9 14 32 203 Fd 9 14 32 34,,
ESSFmw1,104,Pl ,Fd14 Bl 28 Se 28 Lw 14 203,,,
ESSFmw1,105,Se Bl Ba,Pl 34,"Hm13 28 Hw10 28 Pw14 31 Cw14 32 Fd14,32",,
ESSFmw1,110,BlSe ,Pl 34,,,
ESSFmw1,111,,Bl1 Se1 Pl 1 34 ,Pw1 31 ,,
ESSFxc1,101,Se Bl,Pl,,,
ESSFxc1,102,,,Pl Pa 13 Bl 13 28 Sx 13 28,,
ESSFxc1,103,Pl,Fd 14 Lw 9 14 203 Pa,Se 13 28 Bl 13 28,,
ESSFxc1,104,Pl,Se 13 28 Bl 13 28,,,
ESSFxc1,105,Pl Se,Bl,,,
ESSFxc1,110,Pl Se Bl,,,,
ESSFxc1,111,Pl Se Bl,,,,
ESSFxc1,112,,Se1 32 Bl1 32 ,Pl1 ,,
ESSFxc1,113,,Se1 32 Bl1 32 ,Pl1 ,,
ESSFxc2,101,Se Bl ,Pl,,,
ESSFxc2,102,,,Pl Bl 13 Fd 14 32 Lw 9 14 32 203,,
ESSFxc2,103,Bl Se,Pl,,,
ESSFxc2,110,Bl Se,Pl,,,
ESSFxc2,111,Bl Se,,,,
ESSFxc2,112,,,Se1 Bl1 Pl 1 ,,
IDFdk1,101,Fd Lw 203,Pl  At,Sx 10 13,Py 9 14,
IDFdk1,102,,,Fd Pl Py,,
IDFdk1,103,,Fd  Py 14,Pl 13,,
IDFdk1,104,Fd Lw 203,Pl 12, At Sx 28,Py 9 14,
IDFdk1,105,Pl,Fd 32 Lw 32 203 Sx 12 At,Bl 12,,
IDFdk1,110,Sx,Fd 32 Lw 32 203 Pl At,Bl 12 Ep,,
IDFdk1,111,,Sx 1 ,Fd 1 Pl 1 Bl 1 At1 Ep 1 Act,,
IDFdk2,101,Fd Lw 203,Pl  At,Sx 10 13,Py 9 14,
IDFdk2,102,,,Fd 27 Pl Py 9 14,,
IDFdk2,103,,Fd Py 14,Pl 13,,
IDFdk2,104,Fd Lw 203,Pl 12,At,Py 9 14 Sx 28,
IDFdk2,105,Pl,Fd 32 Lw 32 203 Sx 32 At,Bl 12,,
IDFdk2,110,Sx,Fd 32 Lw 32 203 Pl At,Bl 12 Ep,,
IDFdk2,111,,Sx 1 ,Fd 1 Pl 1 Bl 1 At1 Ep 1 Act,,
IDFxh1,101,Fd,Py,,,
IDFxh1,102,,,PyFd,,
IDFxh1,103,,Py Fd,,,
IDFxh1,104,Py,Fd,,,
IDFxh1,105,Py Fd,,,,
IDFxh1,106,Py Fd,,,,
IDFxh1,110,Fd,,Py At Ep,,
IDFxh1,111.1,,Fd32 Sx 13, Pl12 At Ep Act,Cw,
IDFxh1,111.2,,Fd32 Cw 32,Sx13 At Ep Act,,
IDFxh1,112,,,Sx,Fd1 32 Pl1 12 50 Cw1 32 50 Act At Ep,
IDFxh2,101,Fd,,Py,At,
IDFxh2,102,,,Py Fd,,
IDFxh2,103,Py,Fd,,,
IDFxh2,104,,Fd Py,,,
IDFxh2,110,Fd,,At,,
IDFxh2,111,Fd,,At Ep,,
IDFxh2,112,Fd ,Sx13 Cw32,Pl12 At Ep Act,,
IDFxh2,113,,,Sx,Fd1 32 Pl1 12 50 Cw1 32 50 Act At Ep,
MSdm2,101,Pl Sx Bl,At,Fd 9 14 32,,
MSdm2,102,,,Pl Fd 9 14,Sx 10 13 Bl 10 13 ,
MSdm2,103,Fd Pl Lw 32 203,,"Bl10,13 Sx10 13 At",,
MSdm2,104,Pl,Sx 10 13 28 Bl 10 13 28  At,,Fd 9 14 32,
MSdm2,105,Pl Sx Bl,,,,
MSdm2,110,Sx Bl,Pl,,,
MSdm2,111,Sx Bl,Pl,At,Fd 9 14 32 Lw 14 32 203,
MSdm2,112,Sx,Bl,Pl At,Fd 9 14 32 Lw 14 32 203,
MSdm2,113,,,Pl 1 Sx 1 Bl1,,
MSxk1,101,Pl,Sx 10 13 Bl 10 13 At,Fd 9 14 32 Lw 14 32 203,,
MSxk1,102,,,Pl Fd 9 14 Lw 9 14 32 203,Bl 13 Sx 28,
MSxk1,103,,Pl,Fd 9 14 Lw 9 14 32 203,Bl 13,
MSxk1,104,Pl,Sx 10 13 At,Bl 28,Fd 9 32 Lw 14 32 203,
MSxk1,105,Pl,Sx Bl 10 13 At,Fd 9 14 32 Lw 9 14 32 203,,
MSxk1,110,Pl Sx Bl,At,Bl10 13 208 Lw9 14 32 203,,
MSxk1,111,Pl Sx Bl,At,,,
MSxk1,112,Pl1 Sx1,Bl1,,,
MSxk1,113,,,Pl 1 Sx 1 Bl1,,
MSxk2,101,Pl,Sx 10 13 Bl 10 13 At,,Fd 9 14 32 Lw 14 32 203,
MSxk2,102,,,Pl,Fd 9 14 Lw 9 14 Bl 13 Sx 28,
MSxk2,103,,,Pl,Fd 9 14 Bl 13 Sx 28 Lw 9 14 32 203 ,
MSxk2,104,Fd32 Pl Lw 32 203,,,Bl 13 Sx 28,
MSxk2,105,Pl,Fd 9 14 32 Lw 9 14 32 203  At,Sx 28 Bl 10 13,,
MSxk2,106,Pl,Sx Bl 10 13 At,Fd 9 14 32 Lw 9 14 32 203,,
MSxk2,110,Pl Sx,Bl 10 13 At,,,
MSxk2,111,Pl Sx,Bl At,,,
MSxk2,112,,,Pl 1 Sx 1 Bl1,,
PPxh1,101,Py,,Fd,,
PPxh1,102,,,Py,Fd,
PPxh1,103,,,Py,Fd,
PPxh1,104,,Py,,Fd,
PPxh1,110,,Fd Py,,,
PPxh1,111,Fd,Py,,,
PPxh2,101,,Py Fd,,,
PPxh2,102,,,PyFd,,
PPxh2,103,,Fd,Py,,
PPxh2,110.1,,Fd,Py,,
PPxh2,110.2,,Fd,Py,,
PPxh2,111,Fd,,Py,,
